RigPlus,MMD,Vroid
center,センター,center
spine,上半身0,J_Bip_C_Spine
chest,上半身,J_Bip_C_Chest
upper_chest,上半身2,J_Bip_C_UpperChest
neck,首,J_Bip_C_Neck
head,頭,J_Bip_C_Head
L_eye,目.L,J_Adj_L_FaceEye
R_eye,目.R,J_Adj_R_FaceEye
hips,下半身,J_Bip_C_Hips
L_shoulder,肩.L,J_Bip_L_Shoulder
L_upper_arm,腕.L,J_Bip_L_UpperArm
L_lower_arm,ひじ.L,J_Bip_L_LowerArm
L_hand,手首.L,J_Bip_L_Hand
L_thumb_1,親指０.L,J_Bip_L_Thumb1
L_thumb_2,親指１.L,J_Bip_L_Thumb2
L_thumb_3,親指２.L,J_Bip_L_Thumb3
L_index_1,人指１.L,J_Bip_L_Index1
L_index_2,人指２.L,J_Bip_L_Index2
L_index_3,人指３.L,J_Bip_L_Index3
L_middle_1,中指１.L,J_Bip_L_Middle1
L_middle_2,中指２.L,J_Bip_L_Middle2
L_middle_3,中指３.L,J_Bip_L_Middle3
L_ring_1,薬指１.L,J_Bip_L_Ring1
L_ring_2,薬指２.L,J_Bip_L_Ring2
L_ring_3,薬指３.L,J_Bip_L_Ring3
L_pinky_1,小指１.L,J_Bip_L_Little1
L_pinky_2,小指２.L,J_Bip_L_Little2
L_pinky_3,小指３.L,J_Bip_L_Little3
L_upper_leg,足.L,J_Bip_L_UpperLeg
L_lower_leg,ひざ.L,J_Bip_L_LowerLeg
L_foot,足首.L,J_Bip_L_Foot
L_toeBase,つま先.L,J_Bip_L_ToeBase
R_shoulder,肩.R,J_Bip_R_Shoulder
R_upper_arm,腕.R,J_Bip_R_UpperArm
R_lower_arm,ひじ.R,J_Bip_R_LowerArm
R_hand,手首.R,J_Bip_R_Hand
R_thumb_1,親指０.R,J_Bip_R_Thumb1
R_thumb_2,親指１.R,J_Bip_R_Thumb2
R_thumb_3,親指２.R,J_Bip_R_Thumb3
R_index_1,人指１.R,J_Bip_R_Index1
R_index_2,人指２.R,J_Bip_R_Index2
R_index_3,人指３.R,J_Bip_R_Index3
R_middle_1,中指１.R,J_Bip_R_Middle1
R_middle_2,中指２.R,J_Bip_R_Middle2
R_middle_3,中指３.R,J_Bip_R_Middle3
R_ring_1,薬指１.R,J_Bip_R_Ring1
R_ring_2,薬指２.R,J_Bip_R_Ring2
R_ring_3,薬指３.R,J_Bip_R_Ring3
R_pinky_1,小指１.R,J_Bip_R_Little1
R_pinky_2,小指２.R,J_Bip_R_Little2
R_pinky_3,小指３.R,J_Bip_R_Little3
R_upper_leg,足.R,J_Bip_R_UpperLeg
R_lower_leg,ひざ.R,J_Bip_R_LowerLeg
R_foot,足首.R,J_Bip_R_Foot
R_toeBase,つま先.R,J_Bip_R_ToeBase